"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43"
221007.142674937,439161.471607486,1107886.43507601,1328487.46545634,2774673.59057789,1534089.53724383,2007274.52891717,461220.346110532,601187.56625257,1664439.82566928,881021.428024804,587906.637611547,895187.950266173,201899.494936612,180438.600180013,1538668.18100652,1000111.83182042,10071.0678118655,3215104.18153118,2348082.75350638,0,677717.820793588,488190.908859009,1025244.73272817,957732.106143458,2098997.40034464,676445.742854945,1667185.85822512,620842.712474614,1420859.08986553,156563.491861041,1586615.3157302,1411244.73272817,577617.315730201,2113553.74953075,2203732.46508093,2630457.42854946,679931.024229185,707908.729652596,698837.661840731,2852236.34605285,888322.943214969,793877.292401073
898724.963468524,1116879.29240107,1025714.86220075,738249.875403104,3245970.92168595,2120555.48263432,2427767.81951813,643104.689145488,911212.336883811,2250905.77105976,1342423.44827836,1265624.45840514,1415394.01102684,475818.325856978,515178.71555019,917283.404695676,1453055.91591021,667646.752981724,3669614.71607484,2810166.88117885,677717.82079359,0,670075.251893965,1702962.55352176,1381126.98372208,2530034.84682289,11071.0678118655,2344903.67901871,130237.590053236,1710136.21843806,833695.526217001,2264333.13652379,2088962.55352176,1255335.13652379,2546348.55532187,2664059.23344052,3084967.96309312,1357648.84502277,1385626.55044618,1376555.48263432,3306746.88059651,1186033.62133362,1367386.96039295
689057.623937658,626447.834895996,1354067.24266724,1351992.08281433,3012494.00847591,1450480.23074035,2253455.33650841,28727.9220613578,247764.501987817,1580830.5191658,1127202.23561604,807501.658765156,1141368.75785741,378894.444302728,307752.308678997,1531025.61210691,1246292.63941166,478119.841047143,3457770.27049665,2586648.33740846,488190.908859008,670075.251893968,0,1263065.15062619,1203912.91373469,2345178.20793588,668803.173955326,1847844.80451566,600898.62838483,1667039.89745677,644168.614282419,1767274.26202074,1570364.57377531,749991.990773279,2359734.55712198,2449913.27267217,2873123.51751493,917751.442127209,954089.537243834,945018.469431969,3094902.43501833,1134503.75080621,1040058.09999231
850119.841047142,636617.315730199,834121.933088191,1054722.96346852,1750014.64428735,706460.028204815,1238177.8489984,1285165.65568958,1023118.59048175,839153.462380764,448210.244842764,455563.491861038,374411.254969542,1227144.22766478,1205683.33290818,1310772.87015201,404984.848098348,1035315.80054003,2442492.78298665,1571370.84989846,1025244.73272817,1702962.55352176,1263065.15062619,0,448234.853667162,1329900.72042587,1701690.47558311,721227.488785464,1646087.44520278,712237.590053235,918889.393668842,640656.946290541,465286.363288512,513073.159852915,1344457.06961198,1434635.78516217,1857846.03000493,345313.708498985,402279.220613576,404379.725676965,2079624.94750832,614558.441227153,424414.305603424
782607.214462431,581565.583902088,501658.946290541,689951.318805773,1908750.57557542,1154393.14447505,1090547.4734076,1226013.41879808,963966.353590252,1287086.578651,78468.0374315355,468462.98679765,94024.3866176396,1159631.60108007,1138170.70632347,902094.587877717,81041.6305603426,967803.173955323,2332394.36996431,1472946.53506832,957732.106143458,1381126.98372208,1203912.91373469,448234.853667162,0,1192814.50071236,1389854.90578343,1132557.79688213,1511364.57377531,468399.06166072,851376.767084131,1051987.2543872,876616.671385174,545303.607231215,1209128.20921134,1326838.88732999,1747747.61698259,338296.464556281,249823.376490863,258894.444302728,1969526.53448599,306119.841047144,166264.198877634
1923872.50866362,1722830.87810327,1694473.4470029,1882765.81951813,716764.501987815,1772920.92296141,102267.027304759,2367278.71299927,2105231.64779144,1905614.35713736,1271282.53814389,1609728.28099883,1211667.31445474,2300896.89528126,2279436.00052466,1825670.27304758,1111772.87015202,2109068.46815651,1144467.17087975,280960.461480711,2098997.40034464,2530034.84682289,2345178.20793588,1329900.72042587,1192814.50071236,0,2538762.76888424,1341455.84412272,2660272.43687612,823999.133448215,1992642.06128532,1279939.12549695,1360014.28534987,1686568.9014324,17142.135623731,134852.813742386,559820.417898029,1479561.75875747,1391088.67069205,1400159.73850391,781599.335401424,1498934.3417595,1318831.83669611
897452.885529882,1115607.21446243,1034442.78426211,746977.797464462,3254698.84374731,2119283.40469568,2436495.74157949,641832.611206846,909940.258945169,2249633.69312112,1351151.37033972,1264352.38046649,1424121.93308819,474546.247918336,513906.637611548,926011.326757034,1461783.83797157,666374.675043082,3678342.6381362,2818894.8032402,676445.742854948,11071.0678118655,668803.173955323,1701690.47558312,1389854.90578344,2538762.76888424,0,2343631.60108007,121509.667991878,1718864.14049942,832423.448278359,2263061.05858515,2087690.47558312,1254063.05858515,2555076.47738323,2672787.15550188,3093695.88515448,1356376.76708413,1384354.47250754,1375283.40469568,3315474.80265787,1194761.54339498,1376114.88245431
1492060.9665441,1228024.38661764,1554763.63543603,1775364.66581636,1702966.73760385,688629.50903902,1314350.28842544,1869945.30957905,1607898.24437122,671984.848098347,1168851.9471906,1085078.2104868,1095052.95731738,1869085.35316173,1847624.45840513,2031414.57249985,1062361.61518248,1677256.92603699,2439964.64556281,1568842.71247461,1667185.85822512,2344903.67901871,1847844.80451566,721227.488785465,1132557.79688213,1341455.84412272,2343631.60108007,0,2288028.57069974,1206765.72747708,1560830.5191658,82979.9276301721,277480.230740355,1097852.81374239,1346071.06781187,1432107.64773832,1855317.89258108,1059327.99384885,1122920.92296142,1125021.4280248,2077096.81008448,1335200.14357499,1145056.00795126
841849.855149552,1060004.1840821,1155952.45225399,868487.465456338,3376208.51173919,2051378.85912518,2558005.40957136,573342.279198726,842035.713374676,2181729.14755063,1472661.03833159,1208749.35008616,1516030.66274079,418943.217538007,458303.607231218,1047520.99474891,1583293.50596345,610771.644662753,3799852.30612808,2940404.47123208,620842.712474618,130237.590053236,600898.62838483,1646087.44520279,1511364.57377531,2660272.43687612,121509.667991878,2288028.57069974,0,1840373.8084913,776820.417898029,2207458.02820482,2032087.44520279,1198460.02820482,2676586.1453751,2794296.82349376,3215205.55314635,1300773.7367038,1328751.44212721,1319680.37431535,3436984.47064975,1316271.21138686,1414720.00487569
1245734.19818451,1044692.56762416,874574.818618073,1062867.1911333,1539935.20831128,1418697.61825805,721732.106143456,1689140.40252016,1427093.33731233,1551391.052434,539837.661840731,931589.970519725,527671.139599361,1622758.58480214,1601297.69004554,1005771.64466275,421333.044482738,1430930.1576774,1963579.00270017,1104131.16780417,1420859.08986553,1710136.21843806,1667039.89745677,712237.590053234,468399.06166072,823999.133448214,1718864.14049942,1206765.72747708,1840373.80849129,0,1314503.7508062,1126195.18498216,1062124.02512924,1008430.59095329,840312.841947198,958023.520065852,1378932.24971845,801423.448278356,712950.360212937,722021.428024802,1600711.16722184,695437.733628229,629391.18259971
93941.1254969543,332806.132548159,1001531.09601668,1222132.12639701,2668318.25151856,1427734.19818451,1900919.18985784,617198.051533945,494832.227193243,1558084.48660995,774666.088965477,481551.29855222,788832.611206846,357877.200360024,336416.305603426,1508057.14139947,893756.492761095,166048.773235279,3108748.84247185,2241727.41444705,156563.491861041,833695.526217,644168.614282422,918889.393668843,851376.76708413,1992642.06128531,832423.448278358,1560830.5191658,776820.417898027,1314503.75080621,0,1480259.97667087,1304889.39366884,471261.976670874,2007198.41047142,2097377.12602161,2524102.08949013,573575.685169858,601553.390593269,592482.322781404,2745881.00699352,781967.604155642,687521.953341746
1411490.42404917,1147453.84412272,1474193.09294111,1694794.12332144,1655533.28009878,608058.966544097,1233779.74593052,1789374.76708413,1527327.7018763,740752.400720047,1088281.40469568,1004507.66799188,1014482.41482245,1788514.81066681,1767053.91591021,1950844.03000493,981791.072687552,1596686.38354206,2392531.18805773,1521409.25496954,1586615.3157302,2264333.13652379,1767274.26202074,640656.946290542,1051987.2543872,1279939.12549695,2263061.05858514,82979.9276301721,2207458.02820481,1126195.18498215,1480259.97667087,0,196909.688245432,1017282.27124746,1294495.47468306,1384674.19023325,1807884.43507601,978757.45135393,1042350.38046649,1044450.88552988,2029663.3525794,1254629.60108007,1064485.46545634
1236119.84104714,972083.261120684,1298822.50993907,1519423.54031941,1735608.43995169,412906.637611547,1268291.4139224,1592465.0788387,1330418.01363087,545600.071787497,912910.821693644,829137.084989846,839111.831820421,1613144.22766478,1591683.33290818,1775473.4470029,806420.489685524,1421315.80054003,2472606.34791064,1601484.41482245,1411244.73272817,2088962.55352176,1570364.57377531,465286.363288512,876616.671385176,1360014.28534987,2087690.47558311,277480.230740355,2032087.44520278,1062124.02512924,1304889.39366884,196909.688245431,0,833627.416997969,1374570.63453597,1464749.35008616,1887959.59492892,803386.868351899,866979.79746446,869080.302527849,2109738.51243231,1079259.01807804,889114.882454306
402492.424049173,138455.844122716,697943.217538004,918544.247918335,2262502.01770263,956472.221513633,1594846.03000493,772092.49583667,510045.430628838,1086822.50993907,468592.929112562,76840.6204335659,482759.451353931,779516.810666811,758055.915910211,1204469.2629208,587683.33290818,587688.383542065,2799160.96399317,1928039.03090498,577617.315730199,1255335.13652379,749991.990773281,513073.159852915,545303.607231215,1686568.9014324,1254063.05858514,1097852.81374238,1198460.02820481,1008430.59095329,471261.976670873,1017282.27124746,833627.416997969,0,1701125.2506185,1791303.96616869,2214514.21101145,207007.142674937,295480.230740355,286409.162928489,2436293.12851485,478379.725676966,381448.793488831
1938428.85784972,1737387.22728938,1710787.15550188,1899079.52801711,704894.444302728,1787477.27214752,118580.735803744,2381835.06218537,2119787.99697754,1920170.70632347,1287596.24664288,1624284.63018494,1227981.02295373,2315453.24446736,2293992.34971076,1841983.98154656,1128086.578651,2123624.81734261,1129082.3945689,269090.403795622,2113553.74953075,2546348.55532187,2359734.55712198,1344457.06961198,1209128.20921134,17142.135623731,2555076.47738323,1346071.06781187,2676586.1453751,840312.841947199,2007198.41047142,1294495.47468306,1374570.63453597,1701125.2506185,0,124338.095116624,544435.64158718,1494118.10794357,1405645.01987815,1414716.08769002,766214.559090574,1515248.05025848,1335145.5451951
2028607.57339991,1827565.94283957,1828497.83362053,2016790.20613577,581911.688245431,1877655.98769771,236291.413922399,2472013.77773556,2209966.71252773,2010349.42187366,1405306.92476153,1714463.34573513,1343934.3417595,2405631.96001755,2384171.06526095,1959694.65966521,1245797.25676965,2213803.5328928,1012543.2893255,146107.647738325,2203732.46508094,2664059.23344052,2449913.27267217,1434635.78516217,1326838.88732999,134852.813742386,2672787.15550188,1432107.64773832,2794296.82349376,958023.520065853,2097377.12602161,1384674.19023325,1464749.35008616,1791303.96616869,124338.095116624,0,427896.53634378,1584296.82349376,1495823.73542834,1504894.80324021,649675.453847174,1632958.72837714,1451098.86400087
2455332.53686843,2250776.18768233,2249406.56327313,2437698.93578836,429808.224589211,2300866.23254047,661259.01807804,2895224.02257832,2633176.95737049,2430376.76708413,1826215.65441413,2137673.59057789,1770659.30522802,2832356.92348607,2810896.02872947,2380603.38931781,1670764.86092529,2640528.49636132,584646.752981723,286475.180106472,2630457.42854946,3084967.96309312,2873123.51751493,1857846.03000493,1747747.61698259,559820.417898029,3093695.88515448,1855317.89258108,3215205.55314635,1378932.24971845,2524102.08949013,1807884.43507601,1887959.59492892,2214514.21101145,544435.641587179,427896.536343779,0,2007507.06833652,1923720.27177212,1931619.76670873,221778.917503396,2053867.45802973,1877823.82746939
504806.132548159,291303.607231218,542298.556597332,762899.586977663,2094742.5663487,926231.672867565,1387838.88732999,939851.947190601,677804.881982769,1056581.96129301,262414.213562373,130166.522241371,275752.308678997,881830.519165798,860369.624409197,1048824.60198013,380676.190233247,690002.092041051,2592153.82131824,1721031.88823005,679931.024229186,1357648.84502277,917751.442127212,345313.708498985,338296.464556281,1479561.75875747,1356376.76708413,1059327.99384885,1300773.7367038,801423.448278356,573575.685169859,978757.45135393,803386.868351899,207007.142674937,1494118.10794357,1584296.82349376,2007507.06833652,0,107526.911934581,102597.979746447,2229285.98583991,322735.064736294,183554.349186104
532783.837971572,331742.20741123,434771.644662752,655372.675043083,2077149.63723614,989824.601980127,1299365.79926458,976190.042307225,714142.977099393,1120174.89040557,173112.698372208,218639.610306789,187279.220613579,909808.22458921,888347.32983261,941297.690045547,292203.10216783,717979.797464464,2508367.02475384,1641345.59672904,707908.729652599,1385626.55044619,954089.537243836,402279.220613576,249823.376490863,1391088.67069205,1384354.47250754,1122920.92296141,1328751.44212721,712950.360212937,601553.390593272,1042350.38046649,866979.79746446,295480.230740355,1405645.01987815,1495823.73542834,1923720.27177212,107526.911934581,0,9071.06781186548,2145499.18927551,215208.152801713,85968.5627484771
523712.770159707,322671.139599365,439700.576850887,660301.607231217,2085049.13217275,991925.107043516,1308436.86707644,967118.974495359,705071.909287528,1122275.39546896,182183.766184074,209568.542494924,196350.288425444,900737.156777345,879276.262020744,946226.622233681,301274.169979695,708908.729652599,2516266.51969045,1649245.09166565,698837.661840733,1376555.48263432,945018.469431971,404379.725676965,258894.444302728,1400159.73850392,1375283.40469568,1125021.4280248,1319680.37431535,722021.428024803,592482.322781406,1044450.88552988,869080.302527849,286409.162928489,1414716.08769002,1504894.80324021,1931619.76670873,102597.979746447,9071.06781186548,0,2153398.68421212,220137.084989848,95039.6305603426
2677111.45437182,2472555.10518572,2471185.48077652,2659477.85329176,614373.938657006,2522645.15004386,883037.935581432,3117002.94008171,2854955.87487388,2652155.68458752,2047994.57191752,2359452.50808128,1992438.22273141,3054135.84098946,3032674.94623286,2602382.3068212,1892543.77842869,2862307.41386471,367277.220613577,508254.097609863,2852236.34605285,3306746.88059651,3094902.43501832,2079624.94750832,1969526.53448598,781599.33540142,3315474.80265787,2077096.81008448,3436984.47064975,1600711.16722184,2745881.00699352,2029663.3525794,2109738.51243232,2436293.12851485,766214.559090571,649675.453847171,221778.917503396,2229285.98583991,2145499.18927551,2153398.68421212,0,2275646.37553312,2099602.74497278
713198.051533943,512156.4209736,230350.288425444,450951.318805773,2214870.41662256,1202103.8225937,1396667.31445474,1156604.25586959,894557.190661763,1332454.11101914,227651.803615609,401539.105243401,289852.813742385,1090222.43815158,1068761.54339498,779638.743755004,387161.471607486,898394.011026835,2638514.21101145,1779066.37611546,888322.943214969,1186033.62133362,1134503.75080621,614558.441227154,306119.841047144,1498934.3417595,1194761.54339498,1335200.14357499,1316271.21138686,695437.733628229,781967.604155642,1254629.60108007,1079259.01807804,478379.725676966,1515248.05025848,1632958.72837713,2053867.45802973,322735.064736294,215208.152801713,220137.084989848,2275646.37553313,0,194625.41699797
